tool_name,start_week,total_popularity,platform_count,prev_total,growth_pct_raw,growth_norm,engagement_norm,total_platforms_week,presence_norm,trend_score,rank
Transformers,2025-08-04,1010855,5,,0.0,0.5,1.0,5,1.0,0.8,1.0
Ray,2025-08-04,987878,5,,0.0,0.5,0.9767861959852455,5,1.0,0.7930358587955737,2.0
Aws Bedrock,2025-08-04,983826,4,,0.0,0.5,0.9726924355348914,5,0.8,0.7318077306604673,3.0
Airflow,2025-08-04,945429,4,,0.0,0.5,0.9338997109514154,5,0.8,0.7201699132854247,4.0
Claude,2025-08-04,940414,4,,0.0,0.5,0.9288330256951158,5,0.8,0.7186499077085348,5.0
Langchain,2025-08-11,873243,5,343964.0,1.538762777499971,1.0,0.8856998239707206,5,1.0,0.9657099471912163,1.0
Haystack,2025-08-11,832866,5,280548.0,1.9687112365798367,1.0,0.8443288448257843,5,1.0,0.9532986534477352,2.0
Replit Ai,2025-08-11,984797,4,186932.0,4.268209830312627,1.0,1.0,5,0.8,0.94,3.0
Vicuna,2025-08-11,921344,4,176869.0,4.20918872159621,1.0,0.9349849483695263,5,0.8,0.9204954845108579,4.0
Milvus,2025-08-11,724886,5,297163.0,1.4393548321964713,1.0,0.733690651595227,5,1.0,0.920107195478568,5.0
Clearml,2025-08-18,942639,4,77067.0,11.231422009420374,1.0,0.965980561493048,5,0.8,0.9297941684479144,1.0
Falcon,2025-08-18,918085,4,33838.0,26.131774927596194,1.0,0.9407962485076494,5,0.8,0.9222388745522948,2.0
Azure Ai,2025-08-18,890716,4,200164.0,3.4499310565336425,1.0,0.9127246731188178,5,0.8,0.9138174019356453,3.0
Play.Ht,2025-08-18,880540,4,251394.0,2.502629338806813,1.0,0.9022874503062652,5,0.8,0.9106862350918796,4.0
Voyager,2025-08-18,879165,4,238893.0,2.6801622483706096,1.0,0.9008771533951744,5,0.8,0.9102631460185523,5.0
Elevenlabs,2025-08-25,942731,4,258634.0,2.645038935329462,1.0,1.0,5,0.8,0.94,1.0
Chatgpt,2025-08-25,939287,4,324890.0,1.8910923697251378,1.0,0.9963290587403896,5,0.8,0.9388987176221169,2.0
Perplexity,2025-08-25,916370,4,11597.0,78.01784944382167,1.0,0.9719019504806652,5,0.8,0.9315705851441995,3.0
Airflow,2025-08-25,903985,4,303680.0,1.9767683087460484,1.0,0.9587008449347086,5,0.8,0.9276102534804126,4.0
Phi,2025-08-25,899858,4,247197.0,2.6402464431202644,1.0,0.9543018976122893,5,0.8,0.9262905692836868,5.0
